Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Germany,Portugal,4,0
2,Ghana,USA,1,2
3,Germany,Ghana,2,2
4,USA,Portugal,2,2
5,USA,Germany,0,1
6,Portugal,Ghana,2,1
