Game,Team 1,Team 2,Team 1 score,Team 2 score
1,France,Australia,2,1
2,Peru,Denmark,0,1
3,Denmark,Australia,1,1
4,France,Peru,1,0
5,Australia,Peru,0,2
6,Denmark,France,0,0
