Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Costa Rica,Serbia,0,1
2,Brazil,Switzerland,1,1
3,Brazil,Costa Rica,2,0
4,Serbia,Switzerland,1,2
5,Switzerland,Costa Rica,2,2
6,Serbia,Brazil,0,2
