Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Russia,Saudi Arabia,5,0
2,Egypt,Uruguay,0,1
3,Russia,Egypt,3,1
4,Uruguay,Saudi Arabia,1,0
5,Saudi Arabia,Egypt,2,1
6,Uruguay,Russia,3,0
