Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Colombia,Japan,1,2
2,Poland,Senegal,1,2
3,Japan,Senegal,2,2
4,Poland,Colombia,0,3
5,Senegal,Colombia,0,1
6,Japan,Poland,0,1
