Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Belgium,Panama,3,0
2,Tunisia,England,1,2
3,Belgium,Tunisia,5,2
4,England,Panama,6,1
5,England,Belgium,0,1
6,Panama,Tunisia,1,2
