Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Belgium,Algeria,2,1
2,Russia,South Korea,1,1
3,Belgium,Russia,1,0
4,South Korea,Algeria,2,4
5,South Korea,Belgium,0,1
6,Algeria,Russia,1,1
