Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Uruguay,Costa Rica,1,3
2,England,Italy,1,2
3,Uruguay,England,2,1
4,Italy,Costa Rica,0,1
5,Italy,Uruguay,0,1
6,Costa Rica,England,0,0
