Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Argentina,Iceland,1,1
2,Crotia,Nigeria,2,0
3,Argentina,Crotia,0,3
4,Nigeria,Iceland,2,0
5,Nigeria,Argentina,1,2
6,Iceland,Crotia,1,2
