Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Switzerland,Ecuador,2,1
2,France,Honduras,3,0
3,Switzerland,France,2,5
4,Honduras,Ecuador,1,2
5,Ecuador,France,0,0
6,Honduras,Switzerland,0,3
