Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Argentina,Bosnia and Herzegovina,2,1
2,Iran,Nigeria,0,0
3,Argentina,Iran,1,0
4,Nigeria,Bosnia and Herzegovina,1,0
5,Bosnia and Herzegovina,Iran,3,1
6,Nigeria,Argentina,2,3
