Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Spain,Netherlands,1,5
2,Chile,Australia,3,1
3,Australia,Netherlands,2,3
4,Spain,Chile,0,2
5,Australia,Spain,0,3
6,Netherlands,Chile,2,0
