Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Morocco,Iran,0,1
2,Portugal,Spain,3,3
3,Portugal,Morocco,1,0
4,Iran,Spain,0,1
5,Iran,Portugal,1,1
6,Spain,Morocco,2,2
