Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Brazil,Croatia,3,1
2,Mexico,Cameroon,1,0
3,Brazil,Mexico,0,0
4,Cameroon,Croatia,0,4
5,Cameroon,Brazil,1,4
6,Croatia,Mexico,1,3
