Game,Team 1,Team 2,Team 1 score,Team 2 score
1,Colombia,Greece,3,0
2,Ivory Coast,Japan,2,1
3,Colombia,Ivory Coast,2,1
4,Japan,Greece,0,0
5,Japan,Colombia,1,4
6,Greece,Ivory Coast,2,1
